artist,song_name,closest_genre,lyric,length_lyric,actual_lyric_length
Slayer,The Antichrist,Metal,"(Lyrics - Hanneman; Music - Hanneman, King)

Screams and nightmares
Of a life I want
Can't see living this lie no
A world I haunt
You've lost all control of my
Heart and soul
Satan holds my future
Watch it unfold

I am the Antichrist
It's what I was meant to be
Your God left me behind
And set my soul to be free

Watching disciples
Of the satanic rule
Pentagram of blood
Holds the jackal's truth
Searching for the answer
Christ hasn't come
Awaiting the final moment
The birth of Satan's son

Screams,
From a life I live
Torment,
Is what I give
Torture,
Is what I love
The down fall,
Of the heavens above

I am the Antichrist
All love is lost
Insanity is what I am
Eternally my soul will rot [rot... rot]",136,38
Megadeth,Holy Wars...The Punishment Due - Remastered 2004,Metal,"Brother will kill brother
Spilling blood across the land
Killing for religion
Something I don't understand

Fools like me, who cross the sea
And come to foreign lands
Ask the sheep, for their beliefs
Do you kill on God's command?

A country that's divided
Surely will not stand
My past erased, no more disgrace
No foolish naive stand

The end is near, it's crystal clear
Part of the master plan
Don't look now to Israel
It might be your homelands

Holy wars

Upon my podium, as the
Know it all scholar
Down in my seat of judgement
Gavel's bang, uphold the law
Up on my soapbox, a leader
Out to change the world
Down in my pulpit as the holier
Than-thou-could-be-messenger of God

Wage the war on organized crime
Sneak attacks, repel down the rocks
Behind the lines
Some people risk to employ me
Some people live to destroy me
Either way they die, they die

They killed my wife and my baby
With hopes to enslave me
First mistake.....last mistake!
Paid by the alliance, to slay all the giants
Next mistake.....no more mistakes!

Fill the cracks in, with judical granite
Because I don't say it, don't mean I ain't thinkin' it
Next thing you know, they'll take my thoughts away
I know what I said, now I must scream of the overdose
And the lack of mercy killings, mercy killings, mercy killings, killings, killings, killings
Next thing you know they'll take my thoughts way",245,50
Slayer,Seasons In The Abyss,Metal,"Razors edge
Outlines the dead
Incisions in my head
Anticipation the stimulation
To kill the exhilaration

Close your eyes
Look deep in your soul
Step outside yourself
And let your mind go
Frozen eyes stare deep in your mind as you die

Close your eyes
And forget your name
Step outside yourself
And let your throughts drain
As you go insane...go insane

Innate seed
To watch you bleed
A demanding physical need
Desecrated eviscerated
Times perpetuated

Close your eyes
Look deep in your soul
Step outside yourself
And let your mind go
Frozen eyes stare deep in your mind as you die

Close your eyes and forget your name
Step outside yoruself and let your thoughts drain
As you go insane...go insane

Inert flesh
A bloody tomb
A decorated splatter brightens the room
An execution a sadist ritual
Mad intervals of mind residuals

Close your eyes
Look deep in your soul
Step outside yourslef
And let your mind go
Frozen eyes stare deep in your mind as you die

Close your eyes and forget your name
Step outside yoruself and let your thoughts drain
As you go insane...go insane",189,49
Avenged Sevenfold,Bat Country,Metal,"""He who makes a beast out of himself,
gets rid of the pain of being a man"".

Caught here in a fiery blaze, won't lose my will to stay.
I tried to drive all through the night,
the heat stroke ridden weather, the barren empty sights.
No oasis here to see, the sand is singing deathless words to me.

Can't you help me as I'm startin' to burn (all alone).
Too many doses and I'm starting to get an attraction.
My confidence is leaving me on my own (all alone).
No one can save me and you know I don't want the attention.

As I adjust to my new sights the rarely tired lights
will take me to new heights.
My hand is on the trigger, I'm ready to ignite.
Tomorrow might not make it but everything's all right.
Mental fiction follows me; show me what it's like to be set free.

Can't you help me as I'm startin' to burn (all alone).
Too many doses and I'm starting to get an attraction.
My confidence is leaving me on my own (all alone).
No one can save me and you know I don't want the attention.

So sorry you're not here
I've been sane too long my vision's so unclear.
Now take a trip with me
but don't be surprised when things aren't what they seem.

Caught here in a fiery blaze, won't lose my will to stay.
These eyes won't see the same, after I flip today.

Sometimes I don't know why we'd rather live than die,
we look up towards the sky for answers to our lives.
We may get some solutions but most just pass us by,
don't want your absolution 'cause I can't make it right.

I'll make a beast out of myself, gets rid of all the pain of being a man.

Can't you help me as I'm startin' to burn (all alone).
Too many doses and I'm starting to get an attraction.
My confidence is leaving me on my own (all alone).
No one can save me and you know I don't want the attention.

So sorry you're not here
I've been sane too long my vision's so unclear.
Now take a trip with me
but don't be surprised when things aren't what they seem.
I've known it from the start
all these good ideas will tear your brain apart.
Scared but you can follow me
I'm too weird to live but much too rare to die.",413,52
Black Sabbath,Electric Funeral - 2012 - Remaster,Metal,"Reflex in the sky
Warn you you're gonna die
Storm coming, you'd better hide
From the atomic tide

Flashes in the sky
Turns houses into sty
Turns people into clay
Radiation minds decay

Robot minds of robot slaves
Lead them to atomic graves
Plastic flowers, melting sun
Fading moon falls apart

Dying world of radiation,
Victims of mad frustration
Burning globe of obscene fire
Like electric funeral pyre

Buildings crashing down
To Earth's cracking ground
Rivers turn to wood
Ice melts into blood

Earth lies in debris
Clouds cry for the dead
Terrifying rain
Ease the burning pain

Electric Funeral
Electric Funeral
Electric Funeral
Electric Funeral

And so in the sky
Shines the electric eye
Supernatural king
Takes Earth under his wing

Heaven's golden chorus sings
Hell's angels flap their wings
Evil souls fall to Hell
Ever trapped in burning cells!",141,44
Metallica,Battery (Remastered),Metal,"Lashing out the action, returning the reaction
Weak are ripped and torn away
Hypnotizing power, crushing all that cower
Battery is here to stay

Smashing through the boundries
lunacy has found me
cannot stop the Battery
Pounding out aggression
turns into obsession
cannot kill the Battery
Cannot kill the family
Battery is found in me
Battery

Crushing all deceivers, mashing non-believers
never ending potency
Hungry violence seeker, feeding off the weaker
Breeding on insanity

Smashing through the boundries
lunacy has found me
cannot stop the Battery
Pounding out aggression
turns into obsession
cannot kill the Battery
Cannot kill the family
Battery is found in me
Battery

Circle of Destruction, Hammer comes crushing
Powerhouse of energy
Whipping up a fury, Dominating flurry
We create the Battery

Smashing through the boundries
lunacy has found me
cannot stop the Battery
Pounding out aggression
turns into obsession
cannot kill the Battery
Cannot kill the family
Battery is found in me
Battery",157,44
Megadeth,Five Magics - Remastered 2004,Metal,"Bestow upon me magic
Wizard, all knowing, all wise
I want to rule this kingdom
Make sweet the breeze now defiled
Dethrone the evil prince's iron fists
In velvet gloves of sin
Parade the grey robed monks
The vestal virgins, wheel the wyvern's in

Let the ceremony consecrate the marriage
Let me be the protege of Five Magics

Give me alchemy, give mewizardry
Give me sorcery, thermatology
Electricity, master all of these,
magic if you please , bring him to his knees

I master five magics, I master five magics
I master five magics, I master five magics

Possessed with hellish torment, possessed with hellish torment
I master magics five, I master magics five
Hunting the abyss lord, hunting the abyss lord
Only one will stay alive, only one will stay alive
He who lives by the sword, he who lives by the sword
Will surely also die, will surely also die
He who lives in sin, he who lives in sin
Will surely live the lie",167,28
Black Sabbath,Iron Man - 2012 - Remaster,Metal,"Has he lost his mind
Can he see or is he blind
Can he walk at all
Or if he moves will he fall

Is he alive or dead
Has he thoughts within his head
We'll just pass him there
Why should we even care

He was turned to steel
In the great magnetic field
When he traveled time
For the future of mankind

Nobody wants him
He just stares at the world
Planning his vengeance
That he will soon unfurl

Now the time is here
For Iron Man to spread fear
Vengeance from the grave
Kills the people he once saved

Nobody wants him
They just turn their heads
Nobody helps him
Now he has his revenge

Heavy boots of lead
Fills his victims full of dread
Running as fast as they can
Iron Man lives again!",138,34
Trans-Siberian Orchestra,Christmas Eve / Sarajevo 12/24 - Instrumental,Metal,"So, tell me Christmas
Are we wise
To believe in things we never see
Are prayers just wishes in disguise
And are these wishes being granted me
For now I see
The answering
To every prayer I've prayed

She's coming home this
Christmas Day

So tell me Christmas
Are we kind
More this day than any other day
Or is it only in our mind
And must it leave when you have gone away
It's different now
It's changed somehow
And now you're here to stay
She's coming home this Christmas Day

All at once the world
It doesn't seem the same
And in a single night
You know it all has changed
And everything is now as it should be

I have the ornament
I have the perfect tree
I have a string of lights
I have a chance to see
Everything that my heart thought could be

For of all the dreams
You were the first I knew
And every other one
Was a charade of you
You stayed close when I was far away

In the darkest night
You always were the star
You always took us in
No matter who we are
And so she's coming home this
Christmas Day

Merry Christmas
Merry merry Christmas
Merry merry Christmas, now

She's coming home this Christmas day.",219,52
Metallica,Battery (Remastered),Metal,"Lashing out the action, returning the reaction
Weak are ripped and torn away
Hypnotizing power, crushing all that cower
Battery is here to stay

Smashing through the boundries
lunacy has found me
cannot stop the Battery
Pounding out aggression
turns into obsession
cannot kill the Battery
Cannot kill the family
Battery is found in me
Battery

Crushing all deceivers, mashing non-believers
never ending potency
Hungry violence seeker, feeding off the weaker
Breeding on insanity

Smashing through the boundries
lunacy has found me
cannot stop the Battery
Pounding out aggression
turns into obsession
cannot kill the Battery
Cannot kill the family
Battery is found in me
Battery

Circle of Destruction, Hammer comes crushing
Powerhouse of energy
Whipping up a fury, Dominating flurry
We create the Battery

Smashing through the boundries
lunacy has found me
cannot stop the Battery
Pounding out aggression
turns into obsession
cannot kill the Battery
Cannot kill the family
Battery is found in me
Battery",157,44
Nevermore,"Final Product - live at the Zeche Bochum, Germany, October 11th, 2006",Metal,"The media loves the latest tragic suicide
They exploit it, then package it and profit from the people who die
Look at the world, look at the hell, look at the hate that we've made
Look at the final product, a world in slow decay
I'm told that all your seeds are black
I've learned the question is unanswered and opaque

Solo: Smyth

We're witnessing the famine of the innocent
Did they die for religion or the government?
Because if your god won't do, their god will starve you
Look at the world, look at the hell, look at the hate that we've made
Look at the final product, a world in slow decay
I'm told that all your seeds are black
I've learned the question is unanswered and opaque

There are those that believe the world ending again
That impending armageddon is inevitable and waiting

Solo: Loomis

The last survivor barely breathing
Should I run or will I fall? How have I survived at all?

Solo: Loomis

I'm told that all your seeds are black
I've learned the question is unanswered and opaque

Solo: Loomis

We live in a time of revolution
We swim the silent seas of sanity gone",201,34
Five Finger Death Punch,Remember Everything,Metal,"All the things I said
I should have said and didn't say
And I wonder why, yes I wonder why
I think about the time we spent
The places that we went
Still makes me cry, yes it makes me cry
Why do they say that time will heal this broken heart?
They would know it isn't true
If they lost someone like you, oh

Chorus:
Some things can never be replaced
Some things are with me for always
These are the things I will remember
(When I remember when)
I'd rather love and lose it all
Than never have you to recall
These are the things I will remember
(Again and then again)
Again and again
When I remember when

You taught me how to love
I am all I am
Because of you, just because of you (oh)
Everytime I lost my way
You shine a light, you made my day
You see me through, yes you see me through

So who's gonna come around to heal this broken heart?
Show me how to laugh and cry
But never how to say goodbye

(Chorus)

Yes life goes on, you carry on
You do, and it's okay
(When I remember when)
Yes love goes on
And I will live to love another day
(When I remember when)
Yes life goes on, you carry on
You do, and it's okay
I would laugh, and I would cry
But I will never say goodbye

(Chorus)

Yeah, ah
When I remember when...",250,50
Kamelot,Black Tower,Metal,"Come wind
Come snow
Come winterland
I have resigned myself to death
Come will to show the hidden hand
So I can draw my final breath
You could take me higher
So you said and I trusted you
I may be a liar, but betrayal lies on you

I can feel when the journey ends
Final call for a last defense

Darkness come tonight
I have no fear of what you hold
Darkness come alive
You are the stories I've been told

I possess the power
Of survival in the cold
Life is like a flower
As it stumbles out of fall

We all know when our time has come
This is where I will linger on

Darkness come tonight
I have no fear of what you hold
Darkness come alive
You are the stories I've been told

Darkness come tonight
Nothing can take my faith away
Darkness come alive
Life fades to black from silver grey",157,35
Metallica,Motorbreath (Remastered),Metal,"Living and dying laughing and crying
Once you have seen it you will never be the same
Life in the fast lane is just how it seems
Hard and it is heavy and dirty and mean

Motorbreath
It's how I live my life
I can't take it any other way
Motorbreath
The sign of living fast
It is going to take
Your breath away

Don't stop for nothing it's full speed or nothing
I am taking down you know whatever is in my way
Getting your kicks as you are shooting the line
Sending the shivers up and down my spine

Motorbreath
It's how I live my life
I can't take it any other way
Motorbreath
The sign of living fast
It is going to take
Your breath away

Those people who tell you not to take chances
They are all missing on what life is about
You only live once so take hold of the chance
Don't end up like others the same song and dance

Motorbreath
It's how I live my life
I can't take it any other way
Motorbreath
The sign of living fast
It is going to take
Your breath away",195,38
HammerFall,Heeding the Call - Remastered 2018,Metal,"A flash in the night, a journey through time
the Templars are back on the streets
Guarded by prowess and the will to survive
all led by the guiding light


Angels of mercy, guardians of time
Shackled and chained through the eternal flame
the hammer will slowly arise


Heeding The Call, one and for all
never surrender, with glory we'll fall
Brothers unite, let's stand up and fight
fulfilling our fate, we are
Heeding The Call


One step ahead, revealing the past
united, together we stand
The call of the thunder, the sign to begin
this final crusade we will win


Angels of mercy, our journey must proceed
With hearts all filled up with chivalry
the lifeblood that we all need


Heeding The Call, one and for all
never surrender, with glory we'll fall
Brothers unite, let stand up and fight
fulfilling our fate, we are Heeding The Call


Oh, oh, oh…

Heeding The Call, one and for all
never surrender, with glory we;ll fall
Brothers unite, let's stand up and fight
fulfilling our fate, we are Heeding The Call",180,41
Kamelot,Nights of Arabia,Metal,"came across the waters
a kingdom in the sands
unfaithful to the sultan
a killing was at hand
challenged to survival
a legacy of fear
eternal mystic legends
one for every tear

nights of Arabia
the queen has lost her right to life
nights of Arabia
her destiny in story lines
nights of Arabia
a thousand tales and one for life
these are nights of Arabia

whispers in the moonlight
a gathering of vales
circled round the fire
to hear this evenings tale
standing on the threshold
the crest of darkened nights
seduction of the hunter
the slave regains her might

""lost inside a shadow
erase the sins I've made
heavenly reward me
with mercy on my fate""

nights of Arabia
the queen has lost her right to life
nights of Arabia
her destiny in story lines
nights of Arabia
a thousand tales and one for life
these are nights of Arabia
Sheherazade will never die

the sultan relents his feeble hear
this love for the queen is greater than he'll ever know

""it's easy to let you feed my nights
someone to touch, someone to hold,
someone to feel, someone to love""

""here I am to die alone
voices from heaven above
hear my call awaken my soul
forgive me for what I have done""

challenged to survival
a legacy of fear
eternal mystic legends
one for every tear",230,56
Slayer,War Ensemble,Metal,"Propaganda death ensemble
Burial to be
Corpses rotting through the night
In blood laced misery
Scorched earth the policy
The reason for the seige
The pendulum exchange the blade
for strafing air blood raid

Infiltration push reserves
Encircle the front llines
Supreme art of strategy
Playing on the minds
Bombard till submission
Take all to their graves
Indication of triumph
The number that are dead

Sport the war, war support
The sport is war, total war
When victory's a massacre
The final swing is not a drill
It's how many people I can kill

Be dead fiend from above
When darkness falls
Descend onto my sights
Your fallen walls
Spearhead break through the lines
Flanked all around
Soldiers of attrition
Forward their ground

Strategy prophetic age
Old in its time
Flowing veins run on through
Deep in the Rhine
Center of the web
All battles scored
What is our war crime
Era forever more

War

Propaganda war ensemble
Burial to be
Bones shining bt the night
In blood laced misery
Campaign of elimination
Twisted psychology
When victory is to survive
And death is defeat

Sport the war, war support
The sport is war, total war
When this end is a slaughter
The final swing is not a drill
It's how many people I can kill",215,58
Trans-Siberian Orchestra,A Mad Russian's Christmas - Instrumental,Metal,"So, tell me Christmas
Are we wise
To believe in things we never see
Are prayers just wishes in disguise
And are these wishes being granted me
For now I see
The answering
To every prayer I've prayed

She's coming home this
Christmas Day

So tell me Christmas
Are we kind
More this day than any other day
Or is it only in our mind
And must it leave when you have gone away
It's different now
It's changed somehow
And now you're here to stay
She's coming home this Christmas Day

All at once the world
It doesn't seem the same
And in a single night
You know it all has changed
And everything is now as it should be

I have the ornament
I have the perfect tree
I have a string of lights
I have a chance to see
Everything that my heart thought could be

For of all the dreams
You were the first I knew
And every other one
Was a charade of you
You stayed close when I was far away

In the darkest night
You always were the star
You always took us in
No matter who we are
And so she's coming home this
Christmas Day

Merry Christmas
Merry merry Christmas
Merry merry Christmas, now

She's coming home this Christmas day.",219,52
Queensrÿche,Silent Lucidity - Remastered 2003,Metal,"Hush now, don't you cry
Wipe away the teardrop from your eye
You're lying safe in bed
It was all a bad dream
Spinning in your head
Your mind tricked you to feel the pain
Of someone close to you leaving the game of life
So here it is, another chance
Wide awake you face the day
Your dream is over... or has it just begun?

There's a place I like to hide
A doorway that I run through in the night
Relax child, you were there
But only didn't realize it and you were scared
It's a place where you will learn
To face your fears, retrace the years
And ride the whims of your mind
Commanding in another world
Suddenly you hear and see
This magic new dimension

I- will be watching over you
I- am gonna help you see it through
I- will protect you in the night
I- am smiling next to you, in Silent Lucidity

-spoken during solo-
[Visualize your dream]
[Record it in the present tense]
[Put it into a permanent form]
[If you persist in your efforts]
[You can achieve dream control]
[Dream control]
[How's that then, better?]
[Hug me]

If you open your mind for me
You won't rely on open eyes to see
The walls you built within
Come tumbling down, and a new world will begin
Living twice at once you learn
You're safe from the pain in the dream domain
A soul set free to fly
A round trip journey in your head
Master of illusion, can you realize
Your dream's alive, you can be the guide but...

I- will be watching over you
I- am gonna help to see it through
I- will protect you in the night
I- am smiling next to you....",296,52
Metallica,Hit The Lights (Remastered),Metal,"No life till leather
We are gonna kick some ass tonight
We got the metal madness
When our fans start screaming
It's right well alright
When we start to rock
We never want to stop again

Hit the lights
Hit the lights
Hit the lights

You know our fans are insane
We are gonna blow this place away
With volume higher
Than anything today the only way
When we start to rock
We never want to stop again

Hit the lights
Hit the lights
Hit the lights

With all our screaming
We are gonna rip right through your brain
We got the lethal power
It is causing you sweet pain Oh sweet pain
When we start to rock
We never want to stop again

Hit the lights
Hit the lights
Hit the lights",133,33
Nevermore,"Narcosynthesis - live at the Zeche Bochum, Germany, October 11th, 2006",Metal,"Hypnotize me, mesmerize me
Drain the color from my eyes
Patronize me, energize me
Change the world, internalize

How did it come to this,
Narcosynthesis
How did it come to this,
Narcosynthesis

Alienate me, learn to hate me
Crucify your ideals the flesh is the swine
We are the last ones and we're bleeding
For an unseen god

How did it come to this,
Narcosynthesis
How did it come to this,
Narcosynthesis

Turn my blood to sand
Lives fall through the hourglass and grow cold
What are you searching for?

Turn my dirt to gold
Time the healer the great concealer
Please salvage my soul

Victimize me, vilify me
Vilipend and amend the sins you condign

Vou are nothing and you speak for
All that never was

Turn my blood to sand
Lives fall through the hourglass and grow cold
What are you searching for?

Turn my dirt to gold
Time the healer the great concealer
Please salvage my soul

Vou are nothing and you speak for
All that never was

Turn my blood to sand
Lives fall through the hourglass and grow cold
What are you searching for?

Turn my dirt to gold
Time the healer the great concealer
Please salvage my soul",204,52
Kamelot,The Edge of Paradise,Metal,"Sleepless
Not really quite awake
Where the soul conforms
To deeper needs
Free within frames of custody
I revolve my spirit and exhale

On the edge of paradise
Poison burning
In my veins
Unavailing...compromised
My dreams remain the same

Soothing but yet so violent
In this world within the other world
Moonlight...in visions...heaven sent
I see demon eyes and wings unfurled

On the edge of paradise
Poison burning
In my veins
Unavailing...compromised
My dreams remain the same

On the edge of paradise
Powerless
I sail on by
Undermining life itself
My will to wonder why",95,29
Black Sabbath,Die Young - 2007 Remaster,Metal,"People going nowhere, taken for a ride
Looking for the answers that they know inside
Searching for a reason, looking for a rhyme
Snow White's mirror said ""partners in crime!""

Don't they ever have to worry?
Don't you ever wonder why?
It's a part of me that tells you
Oh, don't you ever, don't ever say die
Never, never, never say die again

Sunday's satisfaction, Monday's home and dry
Truth is on the doorstep, welcome in the lie
All dressed up in sorrow, got no place to go
Hold back, `till it's ready, taking it slow

Don't they ever have to worry?
Don't you ever wonder why?
It's a part of me that tells you
Oh, don't you ever, don't ever say die
Never, never, never say die again

Don't you ever say die
Don't you ever say die
Never say die

Panic, silver lining, writing's on the wall
Children get together, you can save us all
Future's on the corner, throwing us a die
Slow down, turn around, everything's fine

There's no need to have a reason
There's no need to wonder why
It's a part of me that tells you
Oh, don't you ever, don't ever say die
Never, never, never say die again",206,36
Cannibal Corpse,Hammer Smashed Face,Metal,"There's something inside me
It's, it's coming out
I feel like killing you
Let loose the anger, held back too long
My blood runs cold

Through my anatomy, dwells another being
Rooted in my cortex, a servant to its bidding

Brutality now becomes my appetite
Violence is now a way of life
The sledge my tool to torture
As it pounds down on your forehead

Eyes bulging from their sockets
With every swing of my mallet
I smash your fucking head in, until brains seep in
through the cracks, blood does leak
distorted beauty, catastrophe
Steaming slop, splattered all over me

Lifeless body, slouching dead
Lecherous abcess, where you once had a head

Avoiding the prophecy of my new found lust
You will never live again, soon your life will end
I'll see you die at my feet, eternally I smash your face
facial bones collapse as I crack your skull in half

Crushing, cranial, contents

Draining the snot, I rip out the eyes
Squeezing them in my hands nerves are incised
Peeling the flesh off the bottom of my weapon
Involuntarily pulpifying facial regions

Suffer, and then you die

Torture, pulverized

At one with my sixth sense, I feel free
To kill as I please, no one can stop me

Created to kill, the carnage continues
Violently reshaping human facial tissue

Brutality becomes my appetite
Violence is now a way of life
The sledge my tool to torture
As it pounds down on your forehead",246,50
Metallica,Harvester of Sorrow (Remastered),Metal,"My life suffocates
Planting the seeds of hate
I've loved, turned to hate
Trapped far beyond my fate

I give
You take
This life that I forsake
Been cheated of my youth
You turned this lie to truth

Anger
Misery
You'll suffer unto me
Harvester of sorrow
Language of the mad
Harvester of sorrow

Pure black looking clear
My work is done soon here
Try getting back to me
Get back what used to be

Drink up
Shoot in
Let the beatings begin
Distributor of pain
Your loss becomes my gain

Anger
Misery
You'll suffer unto me
Harvester of sorrow
Language of the mad
Harvester of sorrow

All have said their prayers
Invade their nightmares
To see into my eyes
You'll find where murder lies
Infanticide

Harvester of sorrow
Language of the mad
Harvester of sorrow
Language of the mad
Harvester of sorrow",143,47
Strapping Young Lad,Rape Song,Metal,"Rape is just cause for murdering
Waste life... Die bastard die bastard burn

Rape gives strength to weakness
Lies prone... cold and alone
He says...

I want you for your body
I want you for your body
I want you for your body
I want you for your body
Body... Body... Body... Body... Body

Here now alone with all who love her
Now feel this come down on you
You fucking pig... now you die
I want you for your body
I want you for your body
I want you for your body
I want to see you fucking dead",100,20
Megadeth,Peace Sells - Remastered,Metal,"What do you mean I don't believe in God?
I talk to him everyday.
What do you mean, I don't support your system?
I go to court when I have to
What do you mean, I can't get to work on time?
I got nothing better to do.
And, what do you mean, I don't pay my bills?
Why do you think I'm broke? Huh?

If there's a new way,
I'll be the first in line.
But it better work this time.

What do you mean, I hurt your feelings?
I didn't know you had any feelings.
What do you mean, I ain't kind?
Just not your kind.
What do you mean, I couldn't be the President
Of the United States of America?
Tell me something, it's still We the people, right?

If there's a new way
I'll be the first in line
But it better work this time

Can you put a price on peace?

Peace,
Peace sells...,
Peace,
Peace sells...,
Peace sells... but who's buying?
Peace sells... but who's buying?
Peace sells... but who's buying?
Peace sells... but who's buying?
No, peace sells...AH",185,36
Megadeth,Symphony Of Destruction,Metal,"You take a mortal man,
And put him in control
Watch him become a god,
Watch peoples heads a'roll
A'roll, A'roooooooollll

(Chorus)
Just like the Pied Piper
Led rats through the streets
We dance like marionettes,
Swaying to the Symphony
Of Destruction

Acting like a robot,
Its metal brain corrodes
You try to take its pulse,
Before the head explodes
Explodes, exploooodes

(Chorus x2)
Solo - Marty

The earth starts to rumble
World powers fall
A'warring for the heavens,
A peaceful man stands tall
Tall, taaaaaaalll

(Chorus x2)",88,29
Black Sabbath,Solitude - 2014 Remaster,Metal,"My name it means nothing
My fortune means less
My future is shrouded in dark wilderness
Sunshine is far away, clouds linger on
Everything I posessed
Now they are gone
They are gone
They are gone

Oh where can I go to and what can I do?
Nothing can please me only thoughts are of you
You just laughed when I begged you to stay
I've not stopped crying since you went away
You went away
You went away

The world is a lonely place - you're on your own
Guess I will go home - sit down and moan.
Crying and thinking is all that I do
Memories I have remind me of you
Of you
Of you",119,22
Metallica,Fight Fire With Fire (Remastered),Metal,"Do unto others as they've done to you
But what the hell is this world coming to?

Blow the universe into nothingness
Nuclear warfare shall lay us to rest

Fight fire with fire
Ending is near
Fight fire with fire
Bursting with fear

We all shall die

Time is like a fuse, short and burning fast
Armageddon's here, like said in the past

Fight fire with fire
Ending is near
Fight fire with fire
Bursting with fear

Soon to fill our lungs the hot winds of death
The gods are laughing, so take your last breath

Fight fire with fire
Ending is near
Fight fire with fire
Bursting with fear",110,28
Black Sabbath,Wasp / Behind the Wall of Sleep / Bassically / N.I.B. - 2014 Remaster,Metal,"Some people say my love cannot be true
Please believe me, my love, and I'll show you
I will give you those things you thought unreal
The sun, the moon, the stars all bear my seal

Oh yeah!

Follow me now and you will not regret
Leaving the life you led before we met
You are the first to have this love of mine
Forever with me 'till the end of time

Your love for me has just got to be real
Before you know the way I'm going to feel
I'm going to feel
I'm going to feel

Oh yeah!

Now I have you with me, under my power
Our love grows stronger now with every hour
Look into my eyes, you will see who I am
My name is Lucifer, please take my hand

Oh yeah!

Follow me now and you will not regret
Leaving the life you led before we met
You are the first to have this love of mine
Forever with me 'till the end of time

Your love for me has just got to be real
Before you know the way I'm going to feel
I'm going to feel
I'm going to feel

Oh yeah!

Now I have you with me, under my power
Our love grows stronger now with every hour
Look into my eyes, you will see who I am
My name is Lucifer, please take my hand",236,42
Motörhead,Killed by Death,Metal,"If you squeeze my lizard
I'll put my snake on you
I'm a romantic adventure
And I'm a reptile too

CHORUS:
But it don't make no difference
'cos I ain't gonna be, easy, easy
the only time I'm easy's when I'm
Killed by death
Killed by death
Killed by death
Killed by death

I'm a lone wolf ligger
But I ain't no pretty boy
I'm a backbone shiver
and I'm a bundle of joy

CHORUS

But it don't make no difference
'cos I ain't gonna be, easy, easy
the only time I'm easy's when I'm
Killed by death
Killed by death
Killed by death
Killed by death

Killed by death
Killed by death
Killed by death
Killed by death",119,33
Five Finger Death Punch,Bad Company,Metal,"I want you so hard
I want you so good
But can you trust me?
Yes, you know you could
My friends are talkin'
And they're tellin' you

Don't waste your time cause the boy's bad news

My friends are talkin'
And they're tellin' you

Just leave him alone cause the boy's bad news

I want you so hard
I want you so good
Now take a chance, momma
You know you should
Trust your instincts and let me in
Just be my ride and I'll be my friend
My friends are talkin'
And they're tellin' you

You're wastin' your time, the boy's bad news

My friends are talkin'
And they're tellin' you

Leave him alone, cause it's just bad news

The boy's bad news",125,31
Black Sabbath,The Wizard - 2014 Remaster,Metal,"Misty morning, clouds in the sky
Without warning, a wizard walks by
Casting his shadow, weaving his spell
Flowing clothes, tinkling bell

Never talking
Just keeps walking
spreading his magic

Evil power disappears
Demons worry when the wizard is near
He turns tears into joy
Everyone's happy when the wizard walks by

Never talking
Just keeps walking
spreading his magic

Sun is shining, clouds have gone by
All the people give a happy sigh
He has passed by, giving his sign
Left all the people feeling so fine

Never talking
Just keeps walking
spreading his magic",96,26
Accept,Fast as a Shark,Metal,"Fog in the streets
A church clock beats
Midnight - darkness all around

You better beware
You better take care
Be prepared for the shock

The time has come
And he's the one
Who's breathing down your neck

Coming from behind
Now it's your time
A loser will die

Fast as a shark he'll cut out of the dark
He's a killer - he'll rip out your heart
On a one way track and you're not coming back
'cause the killer's on the attack

Surprise attack
Coming from the back
An expert of the deadly knack

Just take care
Just beware
Be prepared for the fight

Fast as a shark he'll cut out of the dark
He's a killer - he'll rip out your heart
On a one way track and you're not coming back
'cause the killer's on the attack

Watch out - watch out

Fast as a shark he'll cut out of the dark
He's a killer - he'll rip out your heart
On a one way track and you're not coming back
'cause the killer's on the attack

Fast as a shark he'll cut out of the dark
He's a killer - he'll rip out your heart
On a one way track and you're not coming back
'cause the killer's
'cause the killer's
'cause the killer's on the attack",222,47
Megadeth,Tornado Of Souls - Remastered 2004,Metal,"This morning I made the call
The one that ends it all
Hanging up, I wanted to cry
But dammit, this well's gone dry
Not for the money, not for the fame
Not for the power, just no more games
But now I'm safe in the eye of the tornado
I can't replace the lies, that let a 1000 days go
No more living trapped inside
In her way I'll surely die
In the eye of the tornado, blow me away

You'll grow to loathe my name
You'll hate me just the same
You won't need your breath
And soon you'll meet your death
Not from the years, not from the use
Not from the tears, just self abuse

Who's to say, what's for me to say...be...do
Cause a big nothing it'll be for me
The land of opportunity
The golden chance for me
My future looks so bright
Now I think I've seen the light

Can't say what's on my mind
Can't do what I really feel
In this bed I made for me
Is where I sleep, I really feel
I warn you of the fate
Proven true to late
Your tongue twist perverse
Come drink now of this curse
And now I fill your brain
I spin you round again
My poison fills your head
As I tuck you into bed
You feel my fingertips
You won't forget my lips
You'll feel my cold breath
It's the kiss of death",243,42
